Version,Date_of_report,Date_of_statistics,Perc_covid_symptoms,MA_perc_covid_symptoms
1,2022-04-26 10:00:00,2021-04-04,2.05245153933865,2.416
1,2022-04-26 10:00:00,2021-04-05,2.12031558185404,2.427
1,2022-04-26 10:00:00,2021-04-06,2.32991612301957,2.242
1,2022-04-26 10:00:00,2021-04-07,1.91204588910134,2.235
1,2022-04-26 10:00:00,2021-04-08,2.55511022044088,2.249
1,2022-04-26 10:00:00,2021-04-09,1.89111747851003,2.296
1,2022-04-26 10:00:00,2021-04-10,2.78706800445931,2.299
1,2022-04-26 10:00:00,2021-04-11,2.14994487320838,2.332
1,2022-04-26 10:00:00,2021-04-12,2.44590780809031,2.269
1,2022-04-26 10:00:00,2021-04-13,2.3542600896861,2.344
1,2022-04-26 10:00:00,2021-04-14,2.13723284589426,2.279
1,2022-04-26 10:00:00,2021-04-15,2.11764705882353,2.32
1,2022-04-26 10:00:00,2021-04-16,2.41635687732342,2.295
1,2022-04-26 10:00:00,2021-04-17,2.33144297416509,2.372
1,2022-04-26 10:00:00,2021-04-18,2.43764172335601,2.325
1,2022-04-26 10:00:00,2021-04-19,2.2737819025522,2.428
1,2022-04-26 10:00:00,2021-04-20,2.88951841359773,2.447
1,2022-04-26 10:00:00,2021-04-21,1.80790960451977,2.384
1,2022-04-26 10:00:00,2021-04-22,2.84023668639053,2.33
1,2022-04-26 10:00:00,2021-04-23,2.55009107468124,2.29
1,2022-04-26 10:00:00,2021-04-24,1.88564476885645,2.169
1,2022-04-26 10:00:00,2021-04-25,2.06540447504303,2.187
1,2022-04-26 10:00:00,2021-04-26,1.99416342412451,2.015
1,2022-04-26 10:00:00,2021-04-27,2.03691915977085,1.949
1,2022-04-26 10:00:00,2021-04-28,1.93717277486911,2.063
1,2022-04-26 10:00:00,2021-04-29,1.63838502047981,2.089
1,2022-04-26 10:00:00,2021-04-30,2.08333333333333,2.114
1,2022-04-26 10:00:00,2021-05-01,2.68456375838926,2.119
1,2022-04-26 10:00:00,2021-05-02,2.24719101123596,2.125
1,2022-04-26 10:00:00,2021-05-03,2.16748768472906,2.174
1,2022-04-26 10:00:00,2021-05-04,2.07650273224044,2.217
1,2022-04-26 10:00:00,2021-05-05,1.97963800904977,2.061
1,2022-04-26 10:00:00,2021-05-06,1.97775030902349,2.053
1,2022-04-26 10:00:00,2021-05-07,2.38805970149254,1.987
1,2022-04-26 10:00:00,2021-05-08,1.59021406727829,2.054
1,2022-04-26 10:00:00,2021-05-09,2.19272937103289,1.992
1,2022-04-26 10:00:00,2021-05-10,1.70454545454545,1.947
1,2022-04-26 10:00:00,2021-05-11,2.54424778761062,1.897
1,2022-04-26 10:00:00,2021-05-12,1.54669839381321,1.903
1,2022-04-26 10:00:00,2021-05-13,1.66453265044814,1.828
1,2022-04-26 10:00:00,2021-05-14,2.03735144312394,1.874
1,2022-04-26 10:00:00,2021-05-15,1.63240628778718,1.696
1,2022-04-26 10:00:00,2021-05-16,1.66753517457009,1.745
1,2022-04-26 10:00:00,2021-05-17,2.02800579430227,1.747
1,2022-04-26 10:00:00,2021-05-18,1.29723632261703,1.701
1,2022-04-26 10:00:00,2021-05-19,1.88902007083825,1.662
1,2022-04-26 10:00:00,2021-05-20,1.67630057803468,1.634
1,2022-04-26 10:00:00,2021-05-21,1.71779141104294,1.594
1,2022-04-26 10:00:00,2021-05-22,1.35467980295567,1.613
1,2022-04-26 10:00:00,2021-05-23,1.47318797878609,1.605
1,2022-04-26 10:00:00,2021-05-24,1.75175175175175,1.594
1,2022-04-26 10:00:00,2021-05-25,1.42630744849445,1.608
1,2022-04-26 10:00:00,2021-05-26,1.83333333333333,1.6
1,2022-04-26 10:00:00,2021-05-27,1.59952606635071,1.603
